split,lead_minutes,cost_ratio,method,metric,value,windows,alert_rate,threshold,threshold_source,validation_cost,constant_action
test,120,5.0,train_frequency,alert_rate,0.0,6496,0.0,0.215,validation_only,0.7304936305732485,thresholded_train_frequency
validation,120,5.0,validation_frequency,actual_cost,0.7304936305732485,2512,0.0,0.15,validation_only,0.7304936305732485,thresholded_validation_frequency
validation,120,5.0,validation_frequency,alert_rate,0.0,2512,0.0,0.15,validation_only,0.7304936305732485,thresholded_validation_frequency
test,120,5.0,validation_frequency,actual_cost,0.7989532019704434,6496,0.0,0.15,validation_only,0.7304936305732485,thresholded_validation_frequency
test,120,5.0,validation_frequency,alert_rate,0.0,6496,0.0,0.15,validation_only,0.7304936305732485,thresholded_validation_frequency
validation,120,5.0,no_alert,actual_cost,0.7304936305732485,2512,0.0,-1.0,deterministic_policy,0.7304936305732485,no_alert
validation,120,5.0,no_alert,alert_rate,0.0,2512,0.0,-1.0,deterministic_policy,0.7304936305732485,no_alert
test,120,5.0,no_alert,actual_cost,0.7989532019704434,6496,0.0,-1.0,deterministic_policy,0.7304936305732485,no_alert
test,120,5.0,no_alert,alert_rate,0.0,6496,0.0,-1.0,deterministic_policy,0.7304936305732485,no_alert
validation,120,5.0,always_alert,actual_cost,0.8539012738853503,2512,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
validation,120,5.0,always_alert,alert_rate,1.0,2512,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
test,120,5.0,always_alert,actual_cost,0.8402093596059114,6496,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
test,120,5.0,always_alert,alert_rate,1.0,6496,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
validation,120,5.0,validation_constant,actual_cost,0.7304936305732485,2512,0.0,-1.0,validation_constant_selection,0.7304936305732485,no_alert
validation,120,5.0,validation_constant,alert_rate,0.0,2512,0.0,-1.0,validation_constant_selection,0.7304936305732485,no_alert
test,120,5.0,validation_constant,actual_cost,0.7989532019704434,6496,0.0,-1.0,validation_constant_selection,0.7304936305732485,no_alert
test,120,5.0,validation_constant,alert_rate,0.0,6496,0.0,-1.0,validation_constant_selection,0.7304936305732485,no_alert
validation,120,10.0,np008_full_rolling,actual_cost,0.6062898089171974,2512,0.6604299363057324,0.09,validation_only,0.6062898089171974,thresholded_forecast
validation,120,10.0,np008_full_rolling,alert_rate,0.6604299363057324,2512,0.6604299363057324,0.09,validation_only,0.6062898089171974,thresholded_forecast
test,120,10.0,np008_full_rolling,actual_cost,0.5586514778325123,6496,0.6083743842364532,0.09,validation_only,0.6062898089171974,thresholded_forecast
test,120,10.0,np008_full_rolling,alert_rate,0.6083743842364532,6496,0.6083743842364532,0.09,validation_only,0.6062898089171974,thresholded_forecast
validation,120,10.0,train_frequency,actual_cost,0.8539012738853503,2512,1.0,0.0,validation_only,0.8539012738853503,thresholded_train_frequency
validation,120,10.0,train_frequency,alert_rate,1.0,2512,1.0,0.0,validation_only,0.8539012738853503,thresholded_train_frequency
test,120,10.0,train_frequency,actual_cost,0.8402093596059114,6496,1.0,0.0,validation_only,0.8539012738853503,thresholded_train_frequency
test,120,10.0,train_frequency,alert_rate,1.0,6496,1.0,0.0,validation_only,0.8539012738853503,thresholded_train_frequency
validation,120,10.0,validation_frequency,actual_cost,0.8539012738853503,2512,1.0,0.0,validation_only,0.8539012738853503,thresholded_validation_frequency
validation,120,10.0,validation_frequency,alert_rate,1.0,2512,1.0,0.0,validation_only,0.8539012738853503,thresholded_validation_frequency
test,120,10.0,validation_frequency,actual_cost,0.8402093596059114,6496,1.0,0.0,validation_only,0.8539012738853503,thresholded_validation_frequency
test,120,10.0,validation_frequency,alert_rate,1.0,6496,1.0,0.0,validation_only,0.8539012738853503,thresholded_validation_frequency
validation,120,10.0,no_alert,actual_cost,1.460987261146497,2512,0.0,-1.0,deterministic_policy,1.460987261146497,no_alert
validation,120,10.0,no_alert,alert_rate,0.0,2512,0.0,-1.0,deterministic_policy,1.460987261146497,no_alert
test,120,10.0,no_alert,actual_cost,1.5979064039408868,6496,0.0,-1.0,deterministic_policy,1.460987261146497,no_alert
test,120,10.0,no_alert,alert_rate,0.0,6496,0.0,-1.0,deterministic_policy,1.460987261146497,no_alert
validation,120,10.0,always_alert,actual_cost,0.8539012738853503,2512,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
validation,120,10.0,always_alert,alert_rate,1.0,2512,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
test,120,10.0,always_alert,actual_cost,0.8402093596059114,6496,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
test,120,10.0,always_alert,alert_rate,1.0,6496,1.0,-1.0,deterministic_policy,0.8539012738853503,always_alert
validation,120,10.0,validation_constant,actual_cost,0.8539012738853503,2512,1.0,-1.0,validation_constant_selection,0.8539012738853503,always_alert
validation,120,10.0,validation_constant,alert_rate,1.0,2512,1.0,-1.0,validation_constant_selection,0.8539012738853503,always_alert
test,120,10.0,validation_constant,actual_cost,0.8402093596059114,6496,1.0,-1.0,validation_constant_selection,0.8539012738853503,always_alert
test,120,10.0,validation_constant,alert_rate,1.0,6496,1.0,-1.0,validation_constant_selection,0.8539012738853503,always_alert
validation,240,2.0,np008_full_rolling,actual_cost,0.2921974522292994,2512,0.0,0.6900000000000001,validation_only,0.2921974522292994,thresholded_forecast
